Solucao,F_W,F_L,F_S,F_H
0,0.2150024961529652,0.29548391454967343,0.49818193356797286,0.2430995874218406
1,0.18508290942625444,0.20434657719881574,0.36335978212291564,0.19272448787577595
2,0.0,0.0,0.0,0.0
3,0.660021268393255,0.6379253951507866,0.635601790713247,0.6320465985498652
4,0.6294008967227007,0.43181872960246254,0.7532435760280383,0.5456309145204231
5,0.37920504312288666,0.3691360451219995,0.32694596818754684,0.36827764288745124
6,0.6437448408632017,0.6135504609559047,0.710910420971891,0.6154707670073811
7,0.5491268897421038,0.5830597901561106,0.6157392090841702,0.5165463659896493
8,1.0,0.8845062336849322,1.0,0.9177345782754158
9,0.9997067814289242,1.0,0.9927041282177651,1.0
