Ordem,Maquina,Tempo min,Tempo max,Custo min,Custo max,Especialidade s,w_min,w_max,Disponibilidade_maquina,Tempo_amostrado,Custo_amostrado,w_amostrado
1,1,3.6,5.4,198,300,1,1.5,8.2,6.04,4.274172213925253,259.96957489394674,4.104137840919529
2,2,4.4,6.7,144,195,2,2.1,7.5,6.95,6.586642904742807,152.69673030805185,3.565284771579038
3,22,3.6,6.2,252,308,3,1.8,6.9,6.83,5.503184248709653,255.64288920717564,6.026561297
4,3,4.4,7.2,225,400,1,2.5,9.1,7.08,6.076243755751703,391.0549690193333,4.854571956177689
5,16,4.2,7.2,180,220,2,1.2,5.8,7.42,4.668055921327309,218.62528132298237,2.4922987445619516
6,4,3.5,5.9,171,209,3,1.9,7.3,5.52,3.8743868488068864,201.71909922842553,4.830558849054542
7,8,4.8,7.8,243,297,1,3.2,9.5,7.95,4.9742508365045985,259.4491435,4.087822617341005
8,12,2.8,5,153,187,2,1.4,6.2,5.18,4.705587520704857,156.32085187621706,5.250545507619391
9,23,4.4,7.2,270,330,1,2.8,8.7,7.63,6.0831220328809845,311.0539815907294,3.2398487977106476
10,29,4,6.6,216,264,1,2.3,7.9,7.87,5.840988702269718,237.12731969950087,7.826566844962898
11,6,2.4,4.7,135,165,1,1.1,5.5,7.11,2.4473443368803456,138.66114704534337,4.497876984905293
12,7,3.6,6,234,286,1,2,7.8,7.66,5.927783645188786,259.74919932578604,3.152550953
13,9,5.2,8.4,261,520,2,3.5,10,6.73,7.863816451,269.9066269688416,3.5358937613034156
14,13,3.6,6.2,162,198,2,1.7,6.5,6.69,4.152081687763518,194.73553447483616,5.614214856583204
15,30,4,6.6,279,418,2,2.4,8.3,6.6,4.4727449147384615,314.9704174424023,6.570458328700941
16,10,4.4,7.2,234,333,1,2.6,8.9,6.91,4.913532627589615,299.5897061510442,7.192745158658221
17,14,4,6.3,148.5,201,2,1.3,6,6.66,4.6997571588069365,164.86483149469407,4.924970629423945
18,18,4.2,7.4,216,264,3,1.8,7.1,7.65,5.879220581223161,240.96326501653493,2.192436654190679
19,20,5.6,9,270,330,1,3.8,9.8,7.41,7.068613063383193,302.8026167605968,5.950794371265635
20,5,4,6.6,171,209,1,2.2,7.6,7.34,4.7571957645149086,178.02446930997002,2.8256929214357007
21,15,4.8,7.8,252,308,1,3.1,9.3,7.59,6.635558684167139,306.29673915481527,8.451241240428681
22,17,3.6,6,288,352,1,2.1,7.7,6.75,3.9347852655649005,337.60850069511133,5.590469510234325
23,19,3.8,6.5,157.5,256,2,1.4,6.3,6.89,4.588790551045089,250.04064574407263,3.021400321777981
24,21,4.4,7.2,261,319,3,2.7,8.5,7.62,5.425813161222337,312.89998632480365,3.068638431658937
25,24,5.2,8.4,279,500,2,3.4,9.7,6.38,6.659423949494515,411.13589531724983,5.359188626808671
26,25,3.9,6,189,550,2,1.6,6.8,6.9,5.548869518925328,521.7965988433452,3.290953274539085
27,26,4,7,243,489,3,2.3,8.1,7.54,4.599021346475079,264.7691555047722,6.531715834360772
28,27,5.6,9,288,352,1,3.7,9.9,7.28,7.348397090606279,300.54290319482527,7.652856322402322
29,28,4,6.2,139.5,206,2,1.2,5.4,7.84,5.303312051496493,142.50761471255078,4.926293518820572
30,11,3.6,5.9,225,398,3,2,7.4,7.28,3.706835949255995,281.2821472220447,4.549960595874526
