Ordem,Maquina,Tempo min,Tempo max,Custo min,Custo max,Especialidade s,w_min,w_max,Disponibilidade_maquina,Tempo_amostrado,Custo_amostrado,w_amostrado,Solução 1,F1,F2,Solução 2,F1,F2
1,1,3.6,5.4,198,300,1,1.5,8.2,6.04,4.213919431890465,253.97084651539177,7.801072515164525,0,0,0,3.815269642688940,29.76319515,968.9672608
2,2,4.4,6.7,144,195,2,2.1,7.5,6.95,4.6609890988533556,179.28665508232734,7.2512143158139715,5.286516666,38.33366533,947.8018902,0,0,0
3,22,3.6,6.2,252,308,3,1.8,6.9,6.83,6.004203407524264,288.50983053214566,6.4658083901242875,5.503184249,35.58253489,1587.722755,0,0,0
4,3,4.4,7.2,225,400,1,2.5,9.1,7.08,6.856550189466747,264.2471292,4.943047421685932,0,0,0,5.971576153194590,29.51778411,1577.971855
5,16,4.2,7.2,180,220,2,1.2,5.8,7.42,4.973824883145467,208.48716885390144,1.2711004360327902,0,0,0,6.512901539863680,8.278551987,1357.856403
6,4,3.5,5.9,171,209,3,1.9,7.3,5.52,5.08396171,180.0154653248784,6.912920237973717,3.874386849,26.78332726,697.4495514,4.685109431274530,32.3877878,843.3921544
7,8,4.8,7.8,243,297,1,3.2,9.5,7.95,7.251666600603647,260.57158370060046,5.897560134399081,1.588182728,9.366403142,413.8352886,2.063624817765960,12.17035146,537.7219869
8,12,2.8,5,153,187,2,1.4,6.2,5.18,4.021441785518817,178.38070777401282,6.039943131409615,4.705587521,28.42148102,839.3860324,3.740590240388800,22.59295233,667.2491346
9,23,4.4,7.2,270,330,1,2.8,8.7,7.63,5.883021619396819,308.9779739428329,8.485357864826591,0,0,0,4.471173554883460,37.93950769,1381.494146
10,29,4,6.6,216,264,1,2.3,7.9,7.87,4.628815956341175,256.76272370372055,7.076852950617217,5.840988702,41.33581813,1499.748168,4.280517710182590,30.29259439,1099.077386
11,6,2.4,4.7,135,165,1,1.1,5.5,7.11,2.614136365953568,154.72838676901029,2.395575125106177,2.447344337,5.862797216,378.6736411,2.472287127079480,5.922549544,382.5329988
12,7,3.6,6,234,286,1,2,7.8,7.66,5.753317819087984,263.5520473734445,4.233566825891167,0,0,0,5.127384987033070,21.70712698,1351.332811
13,9,5.2,8.4,261,520,2,3.5,10,6.73,8.081337782922658,285.26176486747596,9.032388364859571,0,0,0,6.205939139444240,56.05445248,1770.317152
14,13,3.6,6.2,162,198,2,1.7,6.5,6.69,5.246063788910497,175.2377689101396,3.221225624750133,4.152081688,13.37479193,727.6015313,4.922283797028220,15.8557867,862.5700305
15,30,4,6.6,279,418,2,2.4,8.3,6.6,4.881477456726621,315.86312910775985,3.4000072054479453,4.472744915,15.20736494,1412.775204,0,0,0
16,10,4.4,7.2,234,333,1,2.6,8.9,6.91,5.377786808915451,258.1549746945293,6.107847953487607,4.913532628,30.0111102,1268.452891,5.098018241616850,31.13792028,1316.07877
17,14,4,6.3,148.5,201,2,1.3,6,6.66,5.669698061401551,199.5830541245034,5.699927438555671,4.699757159,26.78827478,937.9918874,0,0,0
18,18,4.2,7.4,216,264,3,1.8,7.1,7.65,7.070752831848247,234.8686907840045,5.488957922377357,5.879220581,32.27079439,1380.844841,6.258553661823490,34.3529377,1469.938305
19,20,5.6,9,270,330,1,3.8,9.8,7.41,8.616093843,323.5227933106268,7.220367021,6.954251568,50.21224868,2249.858893,0,0,0
20,5,4,6.6,171,209,1,2.2,7.6,7.34,6.027676419229822,194.98326778789598,2.724753066,4.757195765,12.96218374,927.5735757,4.200147765554860,11.4443655,818.9585365
21,15,4.8,7.8,252,308,1,3.1,9.3,7.59,6.726094938462863,296.50943299833233,6.913044805534853,3.718504273,25.70618665,1102.571593,0,0,0
22,17,3.6,6,288,352,1,2.1,7.7,6.75,3.801935915988117,320.1687739587323,7.644301560583875,0,0,0,0,0,0
23,19,3.8,6.5,157.5,256,2,1.4,6.3,6.89,4.236397528055457,214.32503263569637,2.086411674658968,0,0,0,1.274655486596880,2.659456088,273.1905788
24,21,4.4,7.2,261,319,3,2.7,8.5,7.62,6.915951727875822,289.5660262414941,5.706311983709673,0,0,0,5.559270351946650,31.72293103,1609.775825
25,24,5.2,8.4,279,500,2,3.4,9.7,6.38,7.140572990910688,322.14870030336783,8.927450353146119,6.38,56.95713325,2055.308708,6.380000000000000,56.95713325,2055.308708
26,25,3.9,6,189,550,2,1.6,6.8,6.9,3.9193138083949224,449.80521360940344,5.4519968123218625,0,0,0,0,0,0
27,26,4,7,243,489,3,2.3,8.1,7.54,4.304414628598097,312.07000116045054,6.342691297772554,4.599021346,29.17017267,1435.216597,3.497066554955210,22.18081361,1091.329564
28,27,5.6,9,288,352,1,3.7,9.9,7.28,7.855906015,289.55622185161303,8.055401320720078,7.28,58.64332161,2107.969295,0,0,0
29,28,4,6.2,139.5,206,2,1.2,5.4,7.84,4.011135484461681,182.42390767782666,2.709862835122972,5.303312051,14.37124823,967.4509081,5.963629796677950,16.16061875,1087.908651
30,11,3.6,5.9,225,398,3,2,7.4,7.28,3.969858518260247,255.64014753741947,3.585395959028264,0.144186975,0.516967397,36.85997951,0,0,0
,,,,,,,,,,,,,,551.8778255,22975.09323,,509.0988168,22522.97226
