,Cenário_1,Cenário_2,Cenário_3,Cenário_4,Cenário_5,Cenário_6,Cenário_7,Cenário_8,Cenário_9,Cenário_10
Solução_0,22177.154276175428,23212.98869495494,22564.475316520307,23519.158183329593,23545.54912755636,24414.085867352424,23004.46877279421,23704.083407795853,23516.242196458494,22504.00433181567
Solução_1,23432.326435100247,22404.491316146636,22394.338352274284,23427.663491341154,24473.918138953108,24191.218310552234,23802.788720476554,23322.90935234428,23357.9191706903,22995.052378059954
Solução_2,23084.368339117394,23237.077188990017,23060.864573539267,23882.758745932668,24844.041262864783,24393.739034999988,23924.7134305418,23600.004464103768,24651.58388972401,22801.58626046303
Solução_3,23100.482861605346,22108.224520854834,22939.51518340989,22548.834581797197,23524.15097983898,22647.23452390801,21784.178948644796,22511.549687460414,22230.330175354007,22603.974660269723
Solução_4,23005.95995719705,22707.373262668767,23189.23892259433,23206.573903172655,23585.384659670224,23480.22695638087,22566.366025598014,23139.161285312835,22547.02123771414,22280.961934741266
Solução_5,24085.71865166968,22176.53593436413,23463.88052276202,23256.92499208566,24006.03267890788,22683.99658355255,22942.04894330941,22960.93010002818,22468.667117649315,22791.782025847006
Solução_6,22465.09016450393,22451.929164573645,22550.026746814074,22573.005638292998,23556.70008025144,23359.8410517513,21817.05874676699,22801.200331456057,22430.009332123445,22432.34854933672
Solução_7,22448.844099135837,22676.392441152646,22028.400975703364,22602.290256562806,23745.914156016857,23465.01000692417,22179.86847425886,22112.22992523699,23077.831727231278,22649.24088840825
Solução_8,22551.84868841283,21979.301219262466,22344.888519834527,22111.161558352815,22844.27194294738,22638.726651029978,21725.750237245604,22172.023474710506,21574.153759127297,21618.048064298386
Solução_9,21702.918668318533,22844.858312449847,21883.96867228248,22198.703974402753,22174.104146032296,22601.382297632164,21863.539011743043,21763.607051523813,21523.683845297015,20924.592044290403
